name,value,year,lastValue,rank
Documentary,1,1874,1,1
Comedy,0,1874,0,2
Foreign,0,1874,0,3
Mystery,0,1874,0,4
Western,0,1874,0,5
Music,0,1874,0,6
Adventure,0,1874,0,7
Crime,0,1874,0,8
Thriller,0,1874,0,9
Science Fiction,0,1874,0,10
Family,0,1874,0,11
War,0,1874,0,12
Romance,0,1874,0,13
Horror,0,1874,0,14
Fantasy,0,1874,0,15
History,0,1874,0,16
Drama,0,1874,0,17
Animation,0,1874,0,18
Action,0,1874,0,19
TV Movie,0,1874,0,20
Documentary,1,1875,1,1
Comedy,0,1875,0,2
Foreign,0,1875,0,3
Mystery,0,1875,0,4
Western,0,1875,0,5
Music,0,1875,0,6
Adventure,0,1875,0,7
Crime,0,1875,0,8
Thriller,0,1875,0,9
Science Fiction,0,1875,0,10
Family,0,1875,0,11
War,0,1875,0,12
Romance,0,1875,0,13
Horror,0,1875,0,14
Fantasy,0,1875,0,15
History,0,1875,0,16
Drama,0,1875,0,17
Animation,0,1875,0,18
Action,0,1875,0,19
TV Movie,0,1875,0,20
Documentary,1,1876,1,1
Comedy,0,1876,0,2
Foreign,0,1876,0,3
Mystery,0,1876,0,4
Western,0,1876,0,5
Music,0,1876,0,6
Adventure,0,1876,0,7
Crime,0,1876,0,8
Thriller,0,1876,0,9
Science Fiction,0,1876,0,10
Family,0,1876,0,11
War,0,1876,0,12
Romance,0,1876,0,13
Horror,0,1876,0,14
Fantasy,0,1876,0,15
History,0,1876,0,16
Drama,0,1876,0,17
Animation,0,1876,0,18
Action,0,1876,0,19
TV Movie,0,1876,0,20
Documentary,1,1877,1,1
Comedy,0,1877,0,2
Foreign,0,1877,0,3
Mystery,0,1877,0,4
Western,0,1877,0,5
Music,0,1877,0,6
Adventure,0,1877,0,7
Crime,0,1877,0,8
Thriller,0,1877,0,9
Science Fiction,0,1877,0,10
Family,0,1877,0,11
War,0,1877,0,12
Romance,0,1877,0,13
Horror,0,1877,0,14
Fantasy,0,1877,0,15
History,0,1877,0,16
Drama,0,1877,0,17
Animation,0,1877,0,18
Action,0,1877,0,19
TV Movie,0,1877,0,20
Documentary,2,1878,1,1
Comedy,0,1878,0,2
Foreign,0,1878,0,3
Mystery,0,1878,0,4
Western,0,1878,0,5
Music,0,1878,0,6
Adventure,0,1878,0,7
Crime,0,1878,0,8
Thriller,0,1878,0,9
Science Fiction,0,1878,0,10
Family,0,1878,0,11
War,0,1878,0,12
Romance,0,1878,0,13
Horror,0,1878,0,14
Fantasy,0,1878,0,15
History,0,1878,0,16
Drama,0,1878,0,17
Animation,0,1878,0,18
Action,0,1878,0,19
TV Movie,0,1878,0,20
Documentary,2,1879,2,1
Comedy,0,1879,0,2
Foreign,0,1879,0,3
Mystery,0,1879,0,4
Western,0,1879,0,5
Music,0,1879,0,6
Adventure,0,1879,0,7
Crime,0,1879,0,8
Thriller,0,1879,0,9
Science Fiction,0,1879,0,10
Family,0,1879,0,11
War,0,1879,0,12
Romance,0,1879,0,13
Horror,0,1879,0,14
Fantasy,0,1879,0,15
History,0,1879,0,16
Drama,0,1879,0,17
Animation,0,1879,0,18
Action,0,1879,0,19
TV Movie,0,1879,0,20
Documentary,2,1880,2,1
Comedy,0,1880,0,2
Foreign,0,1880,0,3
Mystery,0,1880,0,4
Western,0,1880,0,5
Music,0,1880,0,6
Adventure,0,1880,0,7
Crime,0,1880,0,8
Thriller,0,1880,0,9
Science Fiction,0,1880,0,10
Family,0,1880,0,11
War,0,1880,0,12
Romance,0,1880,0,13
Horror,0,1880,0,14
Fantasy,0,1880,0,15
History,0,1880,0,16
Drama,0,1880,0,17
Animation,0,1880,0,18
Action,0,1880,0,19
TV Movie,0,1880,0,20
Documentary,2,1881,2,1
Comedy,0,1881,0,2
Foreign,0,1881,0,3
Mystery,0,1881,0,4
Western,0,1881,0,5
Music,0,1881,0,6
Adventure,0,1881,0,7
Crime,0,1881,0,8
Thriller,0,1881,0,9
Science Fiction,0,1881,0,10
Family,0,1881,0,11
War,0,1881,0,12
Romance,0,1881,0,13
Horror,0,1881,0,14
Fantasy,0,1881,0,15
History,0,1881,0,16
Drama,0,1881,0,17
Animation,0,1881,0,18
Action,0,1881,0,19
TV Movie,0,1881,0,20
Documentary,2,1882,2,1
Comedy,0,1882,0,2
Foreign,0,1882,0,3
Mystery,0,1882,0,4
Western,0,1882,0,5
Music,0,1882,0,6
Adventure,0,1882,0,7
Crime,0,1882,0,8
Thriller,0,1882,0,9
Science Fiction,0,1882,0,10
Family,0,1882,0,11
War,0,1882,0,12
Romance,0,1882,0,13
Horror,0,1882,0,14
Fantasy,0,1882,0,15
History,0,1882,0,16
Drama,0,1882,0,17
Animation,0,1882,0,18
Action,0,1882,0,19
TV Movie,0,1882,0,20
Documentary,3,1883,2,1
Comedy,0,1883,0,2
Foreign,0,1883,0,3
Mystery,0,1883,0,4
Western,0,1883,0,5
Music,0,1883,0,6
Adventure,0,1883,0,7
Crime,0,1883,0,8
Thriller,0,1883,0,9
Science Fiction,0,1883,0,10
Family,0,1883,0,11
War,0,1883,0,12
Romance,0,1883,0,13
Horror,0,1883,0,14
Fantasy,0,1883,0,15
History,0,1883,0,16
Drama,0,1883,0,17
Animation,0,1883,0,18
Action,0,1883,0,19
TV Movie,0,1883,0,20
Documentary,3,1884,3,1
Comedy,0,1884,0,2
Foreign,0,1884,0,3
Mystery,0,1884,0,4
Western,0,1884,0,5
Music,0,1884,0,6
Adventure,0,1884,0,7
Crime,0,1884,0,8
Thriller,0,1884,0,9
Science Fiction,0,1884,0,10
Family,0,1884,0,11
War,0,1884,0,12
Romance,0,1884,0,13
Horror,0,1884,0,14
Fantasy,0,1884,0,15
History,0,1884,0,16
Drama,0,1884,0,17
Animation,0,1884,0,18
Action,0,1884,0,19
TV Movie,0,1884,0,20
Documentary,3,1885,3,1
Comedy,0,1885,0,2
Foreign,0,1885,0,3
Mystery,0,1885,0,4
Western,0,1885,0,5
Music,0,1885,0,6
Adventure,0,1885,0,7
Crime,0,1885,0,8
Thriller,0,1885,0,9
Science Fiction,0,1885,0,10
Family,0,1885,0,11
War,0,1885,0,12
Romance,0,1885,0,13
Horror,0,1885,0,14
Fantasy,0,1885,0,15
History,0,1885,0,16
Drama,0,1885,0,17
Animation,0,1885,0,18
Action,0,1885,0,19
TV Movie,0,1885,0,20
Documentary,3,1886,3,1
Comedy,0,1886,0,2
Foreign,0,1886,0,3
Mystery,0,1886,0,4
Western,0,1886,0,5
Music,0,1886,0,6
Adventure,0,1886,0,7
Crime,0,1886,0,8
Thriller,0,1886,0,9
Science Fiction,0,1886,0,10
Family,0,1886,0,11
War,0,1886,0,12
Romance,0,1886,0,13
Horror,0,1886,0,14
Fantasy,0,1886,0,15
History,0,1886,0,16
Drama,0,1886,0,17
Animation,0,1886,0,18
Action,0,1886,0,19
TV Movie,0,1886,0,20
Documentary,4,1887,3,1
Comedy,0,1887,0,2
Foreign,0,1887,0,3
Mystery,0,1887,0,4
Western,0,1887,0,5
Music,0,1887,0,6
Adventure,0,1887,0,7
Crime,0,1887,0,8
Thriller,0,1887,0,9
Science Fiction,0,1887,0,10
Family,0,1887,0,11
War,0,1887,0,12
Romance,0,1887,0,13
Horror,0,1887,0,14
Fantasy,0,1887,0,15
History,0,1887,0,16
Drama,0,1887,0,17
Animation,0,1887,0,18
Action,0,1887,0,19
TV Movie,0,1887,0,20
Documentary,6,1888,4,1
Comedy,0,1888,0,2
Foreign,0,1888,0,3
Mystery,0,1888,0,4
Western,0,1888,0,5
Music,0,1888,0,6
Adventure,0,1888,0,7
Crime,0,1888,0,8
Thriller,0,1888,0,9
Science Fiction,0,1888,0,10
Family,0,1888,0,11
War,0,1888,0,12
Romance,0,1888,0,13
Horror,0,1888,0,14
Fantasy,0,1888,0,15
History,0,1888,0,16
Drama,0,1888,0,17
Animation,0,1888,0,18
Action,0,1888,0,19
TV Movie,0,1888,0,20
Documentary,6,1889,6,1
Comedy,0,1889,0,2
Foreign,0,1889,0,3
Mystery,0,1889,0,4
Western,0,1889,0,5
Music,0,1889,0,6
Adventure,0,1889,0,7
Crime,0,1889,0,8
Thriller,0,1889,0,9
Science Fiction,0,1889,0,10
Family,0,1889,0,11
War,0,1889,0,12
Romance,0,1889,0,13
Horror,0,1889,0,14
Fantasy,0,1889,0,15
History,0,1889,0,16
Drama,0,1889,0,17
Animation,0,1889,0,18
Action,0,1889,0,19
TV Movie,0,1889,0,20
Documentary,7,1890,6,1
Comedy,1,1890,0,2
Foreign,0,1890,0,3
Mystery,0,1890,0,4
Western,0,1890,0,5
Music,0,1890,0,6
Adventure,0,1890,0,7
Crime,0,1890,0,8
Thriller,0,1890,0,9
Science Fiction,0,1890,0,10
Family,0,1890,0,11
War,0,1890,0,12
Romance,0,1890,0,13
Horror,0,1890,0,14
Fantasy,0,1890,0,15
History,0,1890,0,16
Drama,0,1890,0,17
Animation,0,1890,0,18
Action,0,1890,0,19
TV Movie,0,1890,0,20
Documentary,12,1891,7,1
Action,1,1891,0,2
Comedy,1,1891,1,3
Science Fiction,0,1891,0,4
Foreign,0,1891,0,5
Mystery,0,1891,0,6
Western,0,1891,0,7
Music,0,1891,0,8
Adventure,0,1891,0,9
Crime,0,1891,0,10
Thriller,0,1891,0,11
Family,0,1891,0,12
War,0,1891,0,13
Romance,0,1891,0,14
Horror,0,1891,0,15
Fantasy,0,1891,0,16
History,0,1891,0,17
Drama,0,1891,0,18
Animation,0,1891,0,19
TV Movie,0,1891,0,20
Documentary,12,1892,12,1
Comedy,2,1892,1,2
Action,1,1892,1,3
Animation,1,1892,0,4
Thriller,0,1892,0,5
Foreign,0,1892,0,6
Mystery,0,1892,0,7
Western,0,1892,0,8
Music,0,1892,0,9
Adventure,0,1892,0,10
Crime,0,1892,0,11
Family,0,1892,0,12
Science Fiction,0,1892,0,13
War,0,1892,0,14
Romance,0,1892,0,15
Horror,0,1892,0,16
Fantasy,0,1892,0,17
History,0,1892,0,18
