name,value,year,lastValue,rank
Georges Melies,12,1910,1,1
Jeanne d'Alcy,2,1910,2,2
Sam Dalton,2,1910,3,3
Laura Bayley,1,1910,4,4
Tom Green,1,1910,5,5
Georges Melies,11,1911,0,1
Sam Dalton,2,1911,2,2
A.C. Abadie,1,1911,0,3
Florence Georgie,1,1911,0,4
Fernande Albeny,1,1911,0,5
Georges Melies,10,1912,0,1
Flora Finch,2,1912,0,2
John Bunny,2,1912,0,3
Fernande Albeny,1,1912,4,4
Jeanne d'Alcy,1,1912,0,5
Georges Melies,11,1913,0,1
Flora Finch,2,1913,1,2
John Bunny,2,1913,2,3
Fernande Albeny,1,1913,3,4
Jeanne d'Alcy,1,1913,4,5
Georges Melies,6,1914,0,1
Flora Finch,2,1914,1,2
John Bunny,2,1914,2,3
Fernande Albeny,1,1914,3,4
Jeanne d'Alcy,1,1914,4,5
Charlie Chaplin,8,1915,0,1
Mack Swain,7,1915,0,2
Georges Melies,5,1915,0,3
Charley Chase,5,1915,0,4
Grover Ligon,5,1915,0,5
Charlie Chaplin,17,1916,0,1
Edna Purviance,9,1916,0,2
Mack Swain,8,1916,1,3
Leo White,8,1916,0,4
Bud Jamison,7,1916,0,5
Charlie Chaplin,26,1917,0,1
Edna Purviance,17,1917,1,2
Leo White,14,1917,3,3
John Rand,10,1917,0,4
Bud Jamison,9,1917,4,5
Charlie Chaplin,30,1918,0,1
Edna Purviance,21,1918,1,2
Leo White,15,1918,2,3
John Rand,14,1918,3,4
James T. Kelley,12,1918,0,5
Charlie Chaplin,33,1919,0,1
Edna Purviance,24,1919,1,2
Leo White,16,1919,2,3
Albert Austin,15,1919,0,4
John Rand,14,1919,3,5
Charlie Chaplin,35,1920,0,1
Edna Purviance,26,1920,1,2
Leo White,16,1920,2,3
Albert Austin,15,1920,3,4
John Rand,14,1920,4,5
Charlie Chaplin,35,1921,0,1
Edna Purviance,26,1921,1,2
Leo White,16,1921,2,3
Albert Austin,15,1921,3,4
John Rand,14,1921,4,5
Charlie Chaplin,37,1922,0,1
Edna Purviance,28,1922,1,2
Leo White,16,1922,2,3
Albert Austin,16,1922,3,4
