name,value,year,lastValue,rank
Bess Flowers,12,1964,0,1
Paul Newman,10,1964,3,2
Chishu Ryu,10,1964,1,3
Hideko Takamine,9,1964,0,4
Jeanne Moreau,9,1964,0,5
Bess Flowers,12,1965,0,1
Chishu Ryu,9,1965,2,2
Jeanne Moreau,9,1965,4,3
Burt Lancaster,9,1965,0,4
Paul Newman,9,1965,1,5
Bess Flowers,11,1966,0,1
Sidney Poitier,10,1966,0,2
Chishu Ryu,9,1966,1,3
Paul Newman,9,1966,4,4
Peter Finch,8,1966,0,5
Bess Flowers,9,1967,0,1
Sidney Poitier,9,1967,1,2
Jeanne Moreau,9,1967,0,3
Max von Sydow,8,1967,0,4
Mildred Dunnock,8,1967,0,5
Jeanne Moreau,9,1968,2,1
Dirk Bogarde,8,1968,0,2
Jean-Claude Brialy,8,1968,0,3
Richard Burton,8,1968,0,4
Sidney Poitier,8,1968,1,5
Jeanne Moreau,9,1969,0,1
Dirk Bogarde,8,1969,1,2
Peter Finch,8,1969,0,3
Richard Burton,8,1969,3,4
Sidney Poitier,8,1969,4,5
Dirk Bogarde,8,1970,1,1
Sidney Poitier,8,1970,4,2
Richard Burton,8,1970,3,3
Mariko Okada,7,1970,0,4
Elizabeth Taylor,7,1970,0,5
Sidney Poitier,8,1971,1,1
Jeanne Moreau,8,1971,0,2
Richard Burton,8,1971,2,3
Dirk Bogarde,7,1971,0,4
Ingrid Thulin,7,1971,0,5
Richard Burton,8,1972,2,1
Michael Redgrave,7,1972,0,2
Ingrid Thulin,7,1972,4,3
Mariko Okada,7,1972,0,4
Jeanne Moreau,7,1972,1,5
Richard Burton,8,1973,0,1
Dirk Bogarde,7,1973,0,2
Salvo Randone,7,1973,0,3
Elizabeth Taylor,7,1973,0,4
Ingrid Thulin,7,1973,2,5
Hanna Schygulla,8,1974,0,1
Gene Hackman,7,1974,0,2
Irm Hermann,7,1974,0,3
Paul Scofield,7,1974,0,4
Jean-Pierre Léaud,7,1974,0,5
Irm Hermann,9,1975,2,1
Hanna Schygulla,9,1975,0,2
Rainer Werner Fassbinder,7,1975,0,3
Paul Scofield,7,1975,3,4
Jean-Pierre Léaud,7,1975,4,5
Irm Hermann,11,1976,0,1
Hanna Schygulla,10,1976,1,2
Kurt Raab,8,1976,0,3
Rainer Werner Fassbinder,7,1976,2,4
Paul Scofield,7,1976,3,5
Irm Hermann,11,1977,0,1
Hanna Schygulla,10,1977,1,2
Ingrid Caven,8,1977,0,3
Kurt Raab,8,1977,2,4
Dominique Sanda,7,1977,0,5
Irm Hermann,11,1978,0,1
Hanna Schygulla,10,1978,1,2
Kurt Raab,9,1978,3,3
Ingrid Caven,8,1978,2,4
Lilo Pempeit,8,1978,0,5
Irm Hermann,11,1979,0,1
Hanna Schygulla,10,1979,1,2
Ingrid Caven,10,1979,3,3
Lilo Pempeit,9,1979,4,4
Kurt Raab,9,1979,2,5
Irm Hermann,11,1980,0,1
Ingrid Caven,10,1980,2,2
Kurt Raab,10,1980,4,3
Hanna Schygulla,9,1980,1,4
Lilo Pempeit,9,1980,3,5
Irm Hermann,10,1981,0,1
Gérard Depardieu,9,1981,0,2
Kurt Raab,8,1981,2,3
Lilo Pempeit,8,1981,4,4
Hanna Schygulla,7,1981,3,5
Gérard Depardieu,10,1982,1,1
Irm Hermann,9,1982,0,2
Eva Mattes,8,1982,0,3
Hanna Schygulla,7,1982,4,4
Helmut Griem,7,1982,0,5
Gérard Depardieu,9,1983,0,1
Ned Beatty,8,1983,0,2
Irm Hermann,8,1983,1,3
John Gielgud,8,1983,0,4
Eva Mattes,7,1983,2,5
Gérard Depardieu,10,1984,0,1
Marcello Mastroianni,8,1984,0,2
John Gielgud,8,1984,3,3
Irm Hermann,7,1984,2,4
Ned Beatty,7,1984,1,5
Gérard Depardieu,10,1985,0,1
John Gielgud,8,1985,2,2
Ned Beatty,7,1985,4,3
Nastassja Kinski,7,1985,0,4
Candice Bergen,7,1985,0,5
Gérard Depardieu,9,1986,0,1
John Gielgud,8,1986,1,2
Meryl Streep,8,1986,0,3
Sam Shepard,7,1986,0,4
Candice Bergen,7,1986,4,5
John Gielgud,8,1987,1,1
Meryl Streep,8,1987,2,2
Sam Shepard,8,1987,3,3
Sissy Spacek,7,1987,0,4
Gérard Depardieu,7,1987,0,5
Sam Shepard,8,1988,2,1
Nastassja Kinski,8,1988,0,2
Meryl Streep,8,1988,1,3
Gérard Depardieu,7,1988,4,4
Candice Bergen,7,1988,0,5
Meryl Streep,9,1989,2,1
Gene Hackman,8,1989,0,2
Nastassja Kinski,7,1989,1,3
Sam Shepard,7,1989,0,4
Philippe Noiret,7,1989,0,5
Gene Hackman,8,1990,1,1
Sam Shepard,7,1990,3,2
Philippe Noiret,7,1990,4,3
Meryl Streep,7,1990,0,4
Sissy Spacek,6,1990,0,5
Gene Hackman,8,1991,0,1
Philippe Noiret,7,1991,2,2
Steven Hill,7,1991,0,3
Meryl Streep,7,1991,3,4
Jeremy Irons,7,1991,0,5
Glenn Close,8,1992,0,1
Gene Hackman,8,1992,0,2
Michael Gough,7,1992,0,3
Denholm Elliott,7,1992,0,4
Ben Kingsley,6,1992,0,5
Gene Hackman,8,1993,1,1
Michael Gough,7,1993,2,2
Robert Duvall,7,1993,0,3
Erland Josephson,7,1993,0,4
Glenn Close,7,1993,0,5
Glenn Close,9,1994,4,1
Gene Hackman,8,1994,0,2
Michael Gough,8,1994,1,3
John Turturro,8,1994,0,4
Tilda Swinton,8,1994,0,5
John Turturro,9,1995,3,1
Tilda Swinton,8,1995,4,2
David Strathairn,8,1995,0,3
Anthony Hopkins,7,1995,0,4
Gene Hackman,7,1995,1,5
John Turturro,9,1996,0,1
David Strathairn,9,1996,2,2
Tilda Swinton,8,1996,1,3
James Earl Jones,8,1996,0,4
Winona Ryder,8,1996,0,5
James Earl Jones,9,1997,3,1
David Strathairn,9,1997,1,2
Winona Ryder,9,1997,4,3
Gérard Depardieu,8,1997,0,4
John Turturro,8,1997,0,5
Jeremy Irons,9,1998,0,1
Michelle Pfeiffer,8,1998,0,2
David Strathairn,8,1998,1,3
Winona Ryder,8,1998,2,4
Robert Duvall,8,1998,0,5
John Turturro,9,1999,0,1
Jeremy Irons,9,1999,0,2
Robert Duvall,9,1999,4,3
John Lynch,9,1999,0,4
John Gielgud,9,1999,0,5
Max von Sydow,9,2000,0,1
John Turturro,9,2000,0,2
Robert Duvall,9,2000,2,3
John Lynch,9,2000,3,4
John Gielgud,9,2000,4,5
Gérard Depardieu,11,2001,0,1
Robert Duvall,10,2001,2,2
Alfre Woodard,9,2001,0,3
Max von Sydow,9,2001,0,4
John Lynch,9,2001,3,5
James Woods,10,2002,0,1
Gérard Depardieu,10,2002,0,2
Vanessa Redgrave,9,2002,0,3
Alfre Woodard,9,2002,2,4
John Turturro,9,2002,0,5
Gérard Depardieu,13,2003,1,1
Julianne Moore,11,2003,0,2
Vanessa Redgrave,10,2003,2,3
Shah Rukh Khan,10,2003,0,4
Mary Steenburgen,9,2003,0,5
Gérard Depardieu,13,2004,0,1
Julianne Moore,11,2004,1,2
Ed Harris,11,2004,0,3
Molly Parker,10,2004,0,4
Shah Rukh Khan,10,2004,3,5
Gérard Depardieu,13,2005,0,1
Shah Rukh Khan,13,2005,4,2
Ed Harris,11,2005,2,3
Molly Parker,11,2005,3,4
Julianne Moore,10,2005,1,5
Shah Rukh Khan,13,2006,1,1
Molly Parker,12,2006,3,2
Gérard Depardieu,11,2006,0,3
Julianne Moore,10,2006,4,4
Salman Khan,10,2006,0,5
Shah Rukh Khan,14,2007,0,1
Molly Parker,11,2007,1,2
Ed Harris,11,2007,0,3
Aidan Quinn,11,2007,0,4
Vanessa Redgrave,10,2007,0,5
Shah Rukh Khan,14,2008,0,1
Aidan Quinn,13,2008,3,2
Gérard Depardieu,11,2008,0,3
Salman Khan,11,2008,0,4
Ed Harris,11,2008,2,5
Aidan Quinn,13,2009,1,1
Shah Rukh Khan,12,2009,0,2
Juliette Binoche,11,2009,0,3
Aishwarya Rai Bachchan,11,2009,0,4
Ed Harris,11,2009,4,5
Shah Rukh Khan,12,2010,1,1
Patricia Clarkson,12,2010,0,2
Aidan Quinn,12,2010,0,3
Amitabh Bachchan,11,2010,0,4
Ed Harris,10,2010,4,5
Aidan Quinn,13,2011,2,1
Patricia Clarkson,13,2011,1,2
James Franco,12,2011,0,3
Toby Jones,12,2011,0,4
Melissa Leo,12,2011,0,5
Patricia Clarkson,14,2012,1,1
Toby Jones,14,2012,3,2
Melissa Leo,14,2012,4,3
Aidan Quinn,12,2012,0,4
Danny Glover,12,2012,0,5
Toby Jones,15,2013,1,1
Melissa Leo,15,2013,2,2
James Franco,14,2013,0,3
Juliette Binoche,13,2013,0,4
Patricia Clarkson,12,2013,0,5
James Franco,19,2014,2,1
Juliette Binoche,18,2014,3,2
Melissa Leo,17,2014,1,3
Toby Jones,16,2014,0,4
Danny Glover,13,2014,0,5
James Franco,20,2015,0,1
Juliette Binoche,18,2015,1,2
Melissa Leo,17,2015,2,3
Danny Glover,15,2015,4,4
Toby Jones,15,2015,3,5
James Franco,24,2016,0,1
Juliette Binoche,19,2016,1,2
Melissa Leo,16,2016,2,3
Isabelle Huppert,15,2016,0,4
Toby Jones,15,2016,4,5
James Franco,24,2017,0,1
Juliette Binoche,17,2017,1,2
Melissa Leo,16,2017,2,3
Isabelle Huppert,15,2017,3,4
Toby Jones,14,2017,4,5
James Franco,24,2018,0,1
Isabelle Huppert,15,2018,3,2
Melissa Leo,15,2018,2,3
Juliette Binoche,15,2018,1,4
Octavia Spencer,14,2018,0,5
