name,value,year,lastValue,rank
Georges Méliès,3,1910,0,1
May Clark,2,1910,0,2
Cecil M. Hepworth,2,1910,0,3
Mrs. Hepworth,2,1910,0,4
Gladys Egan,2,1910,0,5
Georges Méliès,3,1911,0,1
Gladys Egan,3,1911,4,2
May Clark,2,1911,1,3
Cecil M. Hepworth,2,1911,2,4
Mrs. Hepworth,2,1911,3,5
Georges Méliès,3,1912,0,1
Gladys Egan,3,1912,1,2
May Clark,2,1912,2,3
Cecil M. Hepworth,2,1912,3,4
Mrs. Hepworth,2,1912,4,5
Georges Méliès,3,1913,0,1
Gladys Egan,3,1913,1,2
Mary Pickford,3,1913,0,3
May Clark,2,1913,2,4
Cecil M. Hepworth,2,1913,3,5
Gladys Egan,3,1914,1,1
Mary Pickford,3,1914,2,2
Georges Méliès,2,1914,0,3
Kate Bruce,2,1914,0,4
Frank Powell,2,1914,0,5
Mary Pickford,4,1915,1,1
Kate Bruce,3,1915,3,2
Gladys Egan,3,1915,0,3
Robert Harron,3,1915,0,4
Frank Powell,2,1915,4,5
Mary Pickford,4,1916,0,1
Kate Bruce,3,1916,1,2
Gladys Egan,3,1916,2,3
Frank Powell,3,1916,4,4
Robert Harron,3,1916,3,5
Kate Bruce,5,1917,1,1
Mary Pickford,4,1917,0,2
Robert Harron,4,1917,4,3
Gladys Egan,3,1917,2,4
Frank Powell,3,1917,3,5
Kate Bruce,5,1918,0,1
Mary Pickford,4,1918,1,2
Robert Harron,4,1918,2,3
Gladys Egan,3,1918,3,4
Frank Powell,3,1918,4,5
Mary Pickford,6,1919,1,1
Kate Bruce,5,1919,0,2
Raymond Hatton,5,1919,0,3
Robert Harron,4,1919,2,4
Gladys Egan,3,1919,3,5
Mary Pickford,5,1920,0,1
Raymond Hatton,5,1920,2,2
Kate Bruce,4,1920,1,3
Lillian Gish,4,1920,0,4
Robert Harron,4,1920,3,5
Raymond Hatton,5,1921,1,1
Kate Bruce,4,1921,2,2
Lillian Gish,4,1921,3,3
Robert Harron,4,1921,4,4
Mary Pickford,4,1921,0,5
Kate Bruce,5,1922,1,1
Lillian Gish,5,1922,2,2
Mary Pickford,5,1922,4,3
Raymond Hatton,5,1922,0,4
Robert Harron,4,1922,3,5
Mary Pickford,5,1923,2,1
Raymond Hatton,5,1923,3,2
Richard Lund,4,1923,0,3
Kate Bruce,4,1923,0,4
Lillian Gish,4,1923,1,5
Mary Pickford,5,1924,0,1
Lillian Gish,5,1924,4,2
Raymond Hatton,5,1924,1,3
Kate Bruce,4,1924,3,4
Jenny Tschernichin-Larsson,4,1924,0,5
Raymond Hatton,5,1925,2,1
Jenny Tschernichin-Larsson,4,1925,4,2
Nigel De Brulier,4,1925,0,3
Lillian Gish,4,1925,1,4
Erich von Stroheim,4,1925,0,5
Rudolph Valentino,5,1926,0,1
Lillian Gish,4,1926,3,2
Tully Marshall,4,1926,0,3
Erich von Stroheim,4,1926,4,4
Charles Ogle,4,1926,0,5
Mary Pickford,5,1927,0,1
Lillian Gish,5,1927,1,2
Rudolph Valentino,5,1927,0,3
Charles Ogle,4,1927,4,4
Gustav von Seyffertitz,4,1927,0,5
Lillian Gish,6,1928,1,1
Mary Pickford,5,1928,0,2
John Gilbert,5,1928,0,3
Rudolph Valentino,5,1928,2,4
Greta Garbo,5,1928,0,5
John Gilbert,7,1929,2,1
Greta Garbo,7,1929,4,2
Lillian Gish,6,1929,0,3
Rudolph Valentino,5,1929,3,4
Cesare Gravina,5,1929,0,5
Greta Garbo,9,1930,1,1
John Gilbert,6,1930,0,2
Lillian Gish,5,1930,2,3
Rudolph Valentino,5,1930,3,4
Cesare Gravina,5,1930,4,5
Greta Garbo,11,1931,0,1
Charles Farrell,6,1931,0,2
John Gilbert,6,1931,1,3
Johnny Mack Brown,6,1931,0,4
Lewis Stone,6,1931,0,5
Greta Garbo,11,1932,0,1
Johnny Mack Brown,7,1932,3,2
Lewis Stone,7,1932,4,3
Charles Farrell,6,1932,1,4
John Gilbert,6,1932,2,5
Greta Garbo,12,1933,0,1
Lewis Stone,10,1933,2,2
Joan Crawford,8,1933,0,3
George Irving,8,1933,0,4
John Gilbert,7,1933,4,5
Greta Garbo,13,1934,0,1
Lewis Stone,12,1934,1,2
Lionel Barrymore,10,1934,0,3
Oscar Apfel,10,1934,0,4
George Irving,9,1934,3,5
Greta Garbo,13,1935,0,1
Lewis Stone,12,1935,1,2
Louise Beavers,12,1935,0,3
Lionel Barrymore,11,1935,2,4
Joan Crawford,10,1935,0,5
Greta Garbo,13,1936,0,1
Lewis Stone,13,1936,1,2
Lionel Barrymore,12,1936,3,3
Louise Beavers,12,1936,2,4
George Irving,11,1936,0,5
Lewis Stone,14,1937,1,1
Lionel Barrymore,14,1937,2,2
George Irving,13,1937,4,3
Greta Garbo,12,1937,0,4
Louise Beavers,12,1937,3,5
Lewis Stone,14,1938,0,1
Lionel Barrymore,14,1938,1,2
George Irving,13,1938,2,3
Louise Beavers,13,1938,4,4
Reginald Owen,13,1938,0,5
Lionel Barrymore,15,1939,1,1
George Irving,14,1939,2,2
Reginald Owen,14,1939,4,3
Louise Beavers,13,1939,3,4
Lewis Stone,13,1939,0,5
Lionel Barrymore,18,1940,0,1
Donald Crisp,17,1940,0,2
George Irving,13,1940,1,3
Bess Flowers,13,1940,0,4
Bette Davis,13,1940,0,5
Lionel Barrymore,21,1941,0,1
Donald Crisp,19,1941,1,2
Bess Flowers,16,1941,3,3
George Irving,14,1941,2,4
Bette Davis,14,1941,4,5
Lionel Barrymore,21,1942,0,1
Donald Crisp,20,1942,1,2
Bette Davis,16,1942,4,3
Bess Flowers,15,1942,2,4
Henry O'Neill,14,1942,0,5
Lionel Barrymore,20,1943,0,1
Donald Crisp,19,1943,1,2
Bess Flowers,16,1943,3,3
Bette Davis,15,1943,2,4
Henry O'Neill,14,1943,4,5
Donald Crisp,18,1944,1,1
Bess Flowers,18,1944,2,2
Bette Davis,16,1944,3,3
Lionel Barrymore,15,1944,0,4
Henry O'Neill,14,1944,4,5
Bess Flowers,18,1945,1,1
Donald Crisp,17,1945,0,2
Bette Davis,16,1945,2,3
Lionel Barrymore,14,1945,3,4
Walter Kingsford,13,1945,0,5
Donald Crisp,17,1946,1,1
Bess Flowers,16,1946,0,2
Bette Davis,15,1946,2,3
Lionel Barrymore,14,1946,3,4
Walter Kingsford,13,1946,4,5
Bette Davis,17,1947,2,1
Bess Flowers,17,1947,1,2
Donald Crisp,14,1947,0,3
Virginia Brissac,12,1947,0,4
Charles Trowbridge,12,1947,0,5
Bess Flowers,18,1948,1,1
Bette Davis,16,1948,0,2
Donald Crisp,12,1948,2,3
Lionel Barrymore,12,1948,0,4
Henry Travers,11,1948,0,5
Bess Flowers,18,1949,0,1
Bette Davis,15,1949,1,2
Virginia Brissac,11,1949,0,3
Frank Orth,10,1949,0,4
Donald Crisp,10,1949,2,5
Bess Flowers,17,1950,0,1
Gladys Cooper,11,1950,0,2
Gene Lockhart,11,1950,0,3
Bette Davis,11,1950,1,4
Gino Corrado,10,1950,0,5
Bess Flowers,19,1951,0,1
Bette Davis,11,1951,3,2
Agnes Moorehead,10,1951,0,3
Gladys Cooper,10,1951,1,4
Florence Bates,10,1951,0,5
Bess Flowers,24,1952,0,1
Agnes Moorehead,12,1952,2,2
Bette Davis,10,1952,1,3
Gladys Cooper,10,1952,3,4
Florence Bates,10,1952,4,5
Bess Flowers,22,1953,0,1
Agnes Moorehead,10,1953,1,2
Bette Davis,10,1953,2,3
Florence Bates,10,1953,4,4
Gladys Cooper,9,1953,3,5
Bess Flowers,23,1954,0,1
Masao Shimizu,12,1954,0,2
Agnes Moorehead,10,1954,1,3
Florence Bates,10,1954,3,4
Kirk Douglas,10,1954,0,5
Bess Flowers,23,1955,0,1
Masao Shimizu,13,1955,1,2
Florence Bates,10,1955,3,3
Jean Simmons,10,1955,0,4
Alan Napier,10,1955,0,5
Bess Flowers,23,1956,0,1
Masao Shimizu,14,1956,1,2
Jean Simmons,11,1956,3,3
Alan Napier,10,1956,4,4
Kirk Douglas,10,1956,0,5
Bess Flowers,22,1957,0,1
Masao Shimizu,13,1957,1,2
Kirk Douglas,10,1957,4,3
Jean Simmons,10,1957,2,4
Chieko Nakakita,10,1957,0,5
Bess Flowers,24,1958,0,1
Agnes Moorehead,12,1958,0,2
Masao Shimizu,12,1958,1,3
Chieko Nakakita,10,1958,4,4
John Hoyt,10,1958,0,5
Bess Flowers,22,1959,0,1
Agnes Moorehead,11,1959,1,2
Chishu Ryu,11,1959,0,3
Masao Shimizu,11,1959,2,4
Haruko Sugimura,10,1959,0,5
Bess Flowers,22,1960,0,1
Chishu Ryu,11,1960,2,2
Masao Shimizu,11,1960,3,3
Kinuyo Tanaka,10,1960,0,4
Haruko Sugimura,10,1960,4,5
Bess Flowers,18,1961,0,1
Chishu Ryu,11,1961,1,2
Haruko Sugimura,10,1961,4,3
Deborah Kerr,10,1961,0,4
Masao Shimizu,10,1961,2,5
Bess Flowers,15,1962,0,1
Chishu Ryu,11,1962,1,2
Masao Shimizu,10,1962,4,3
Tatsuya Ishiguro,10,1962,0,4
Daisuke Katô,9,1962,0,5
Bess Flowers,15,1963,0,1
Chishu Ryu,11,1963,1,2
Tatsuya Ishiguro,10,1963,3,3
Paul Newman,10,1963,0,4
Deborah Kerr,9,1963,0,5
