name,value,year,lastValue,rank
Humphrey Bogart,17,1943,2,3
E.E. Clive,16,1943,4,4
Bela Lugosi,15,1943,1,5
Humphrey Bogart,19,1944,2,1
Ward Bond,18,1944,1,2
Bela Lugosi,17,1944,4,3
Boris Karloff,17,1944,0,4
John Ridgely,16,1944,0,5
Ward Bond,20,1945,1,1
John Carradine,19,1945,0,2
Humphrey Bogart,19,1945,0,3
Boris Karloff,17,1945,3,4
Lon Chaney Jr.,17,1945,0,5
Ward Bond,20,1946,0,1
Humphrey Bogart,20,1946,2,2
John Carradine,20,1946,1,3
Lon Chaney Jr.,19,1946,4,4
John Ridgely,19,1946,0,5
John Carradine,21,1947,2,1
John Ridgely,20,1947,4,2
Humphrey Bogart,19,1947,1,3
Lon Chaney Jr.,19,1947,3,4
Ward Bond,19,1947,0,5
John Ridgely,23,1948,1,1
Bess Flowers,19,1948,0,2
Humphrey Bogart,18,1948,2,3
Basil Rathbone,18,1948,0,4
James Flavin,18,1948,0,5
Bess Flowers,23,1949,1,1
John Ridgely,22,1949,0,2
James Flavin,18,1949,4,3
Humphrey Bogart,18,1949,2,4
John Carradine,18,1949,0,5
Bess Flowers,23,1950,0,1
John Ridgely,16,1950,1,2
Lon Chaney Jr.,15,1950,0,3
James Flavin,15,1950,2,4
Humphrey Bogart,15,1950,3,5
Bess Flowers,24,1951,0,1
Humphrey Bogart,16,1951,4,2
Steven Geray,16,1951,0,3
Lon Chaney Jr.,14,1951,2,4
John Carradine,14,1951,0,5
Bess Flowers,25,1952,0,1
Steven Geray,17,1952,2,2
Humphrey Bogart,16,1952,1,3
Harry Morgan,15,1952,0,4
Basil Rathbone,14,1952,0,5
Bess Flowers,26,1953,0,1
Steven Geray,17,1953,1,2
Humphrey Bogart,16,1953,2,3
Robert Mitchum,15,1953,0,4
Harry Morgan,15,1953,3,5
Bess Flowers,26,1954,0,1
Steven Geray,16,1954,1,2
Humphrey Bogart,15,1954,2,3
Charles McGraw,15,1954,0,4
Harry Morgan,14,1954,4,5
Bess Flowers,25,1955,0,1
Charles McGraw,17,1955,3,2
Humphrey Bogart,16,1955,2,3
Raymond Burr,15,1955,0,4
Steven Geray,13,1955,1,5
Bess Flowers,24,1956,0,1
Charles McGraw,17,1956,1,2
Humphrey Bogart,16,1956,2,3
Raymond Burr,15,1956,3,4
Richard Conte,14,1956,0,5
Bess Flowers,21,1957,0,1
Charles McGraw,18,1957,1,2
Raymond Burr,16,1957,3,3
Humphrey Bogart,15,1957,2,4
William Schallert,14,1957,0,5
Bess Flowers,21,1958,0,1
Raymond Burr,17,1958,2,2
Charles McGraw,15,1958,1,3
William Schallert,15,1958,4,4
Richard Widmark,13,1958,0,5
Bess Flowers,21,1959,0,1
William Schallert,16,1959,3,2
Charles McGraw,15,1959,2,3
Raymond Burr,13,1959,1,4
Morris Ankrum,12,1959,0,5
Bess Flowers,20,1960,0,1
William Schallert,16,1960,1,2
Charles McGraw,14,1960,2,3
Whit Bissell,12,1960,0,4
Stanley Baker,12,1960,0,5
Bess Flowers,18,1961,0,1
William Schallert,17,1961,1,2
Christopher Lee,15,1961,0,3
Stanley Baker,14,1961,4,4
Whit Bissell,12,1961,3,5
Bess Flowers,16,1962,0,1
Christopher Lee,16,1962,2,2
William Schallert,14,1962,1,3
Stanley Baker,14,1962,3,4
Whit Bissell,12,1962,4,5
Christopher Lee,16,1963,1,1
Bess Flowers,15,1963,0,2
Stanley Baker,14,1963,3,3
William Schallert,13,1963,2,4
Peter Cushing,12,1963,0,5
Christopher Lee,18,1964,0,1
Bess Flowers,16,1964,1,2
William Schallert,13,1964,3,3
Stanley Baker,12,1964,2,4
Peter Cushing,12,1964,4,5
Christopher Lee,21,1965,0,1
Bess Flowers,14,1965,1,2
Peter Cushing,14,1965,4,3
Vincent Price,13,1965,0,4
Stanley Baker,11,1965,3,5
Christopher Lee,22,1966,0,1
Peter Cushing,15,1966,2,2
Vincent Price,13,1966,3,3
Bernard Lee,12,1966,0,4
Bess Flowers,12,1966,1,5
Christopher Lee,24,1967,0,1
Peter Cushing,15,1967,1,2
Vincent Price,13,1967,2,3
Michael Ripper,12,1967,0,4
Bess Flowers,11,1967,4,5
Christopher Lee,24,1968,0,1
Peter Cushing,16,1968,1,2
Michael Ripper,13,1968,3,3
Vincent Price,13,1968,2,4
Bernard Lee,12,1968,0,5
Christopher Lee,26,1969,0,1
Peter Cushing,16,1969,1,2
Vincent Price,14,1969,3,3
Alain Delon,14,1969,0,4
Michael Ripper,13,1969,2,5
Christopher Lee,25,1970,0,1
Alain Delon,16,1970,3,2
Peter Cushing,15,1970,1,3
Vincent Price,11,1970,2,4
Michael Ripper,11,1970,4,5
Christopher Lee,27,1971,0,1
Alain Delon,16,1971,1,2
Peter Cushing,13,1971,2,3
Vincent Price,12,1971,3,4
Michael Ripper,12,1971,4,5
Christopher Lee,29,1972,0,1
Alain Delon,16,1972,1,2
Peter Cushing,14,1972,2,3
Bernard Lee,11,1972,0,4
Vincent Price,11,1972,3,5
Christopher Lee,32,1973,0,1
Peter Cushing,19,1973,2,2
Alain Delon,17,1973,1,3
Patrick Magee,13,1973,0,4
Umberto Raho,13,1973,0,5
Christopher Lee,34,1974,0,1
Peter Cushing,24,1974,1,2
Alain Delon,20,1974,2,3
Umberto Raho,14,1974,4,4
Patrick Magee,13,1974,3,5
Christopher Lee,32,1975,0,1
Peter Cushing,26,1975,1,2
Alain Delon,20,1975,2,3
Adolfo Celi,14,1975,0,4
Michael Caine,13,1975,0,5
Christopher Lee,30,1976,0,1
Peter Cushing,26,1976,1,2
Alain Delon,19,1976,2,3
Michael Caine,13,1976,4,4
Franco Nero,12,1976,0,5
Christopher Lee,28,1977,0,1
Peter Cushing,25,1977,1,2
Alain Delon,19,1977,2,3
Adolfo Celi,13,1977,0,4
Michael Caine,13,1977,3,5
Christopher Lee,27,1978,0,1
Peter Cushing,24,1978,1,2
Alain Delon,16,1978,2,3
Michael Caine,13,1978,4,4
Tomás Milián,13,1978,0,5
Christopher Lee,23,1979,0,1
Peter Cushing,22,1979,1,2
