name,value,year,lastValue,rank
Georges Melies,5,1910,1,1
Bleuette Bernon,2,1910,2,2
Jeanne d'Alcy,2,1910,3,3
Henri Delannoy,1,1910,4,4
Brunnet,1,1910,5,5
Georges Melies,4,1911,0,1
Bleuette Bernon,2,1911,1,2
Jeanne d'Alcy,2,1911,2,3
Henri Delannoy,1,1911,3,4
Brunnet,1,1911,4,5
Georges Melies,3,1912,0,1
Bleuette Bernon,2,1912,1,2
Jeanne d'Alcy,2,1912,2,3
Henri Delannoy,1,1912,3,4
Brunnet,1,1912,4,5
Georges Melies,3,1913,0,1
Vivian Vaughan,1,1913,0,2
Arthur White,1,1913,0,3
James H. White,1,1913,0,4
Bleuette Bernon,1,1913,1,5
Georges Melies,2,1914,0,1
Robert Harron,2,1914,0,2
Fernande Albeny,1,1914,0,3
Jeanne d'Alcy,1,1914,0,4
May de Lavergne,1,1914,0,5
Robert Harron,2,1915,1,1
Elizabeth Tait,1,1915,0,2
John Tait,1,1915,0,3
Segundo de Chomón,1,1915,0,4
Julienne Mathieu,1,1915,0,5
Robert Harron,2,1916,0,1
Elizabeth Tait,1,1916,1,2
John Tait,1,1916,2,3
Segundo de Chomón,1,1916,3,4
Julienne Mathieu,1,1916,4,5
Robert Harron,2,1917,0,1
Musidora,2,1917,0,2
edouard Mathe,2,1917,0,3
Douglas Fairbanks,2,1917,0,4
Alma Rubens,2,1917,0,5
Douglas Fairbanks,3,1918,3,1
Tom Wilson,3,1918,0,2
Robert Harron,2,1918,0,3
Musidora,2,1918,1,4
edouard Mathe,2,1918,2,5
Douglas Fairbanks,3,1919,0,1
Tom Wilson,3,1919,1,2
Robert Harron,2,1919,2,3
Musidora,2,1919,3,4
edouard Mathe,2,1919,4,5
Bebe Daniels,3,1920,0,1
'Snub' Pollard,3,1920,0,2
Douglas Fairbanks,3,1920,0,3
Tom Wilson,3,1920,1,4
Augustus Phillips,2,1920,0,5
Douglas Fairbanks,4,1921,2,1
'Snub' Pollard,3,1921,1,2
Tom Wilson,3,1921,3,3
Georg John,3,1921,0,4
Lillian Gish,2,1921,0,5
Douglas Fairbanks,5,1922,0,1
'Snub' Pollard,3,1922,1,2
Tom Wilson,3,1922,2,3
Georg John,3,1922,3,4
Lillian Gish,2,1922,4,5
Douglas Fairbanks,6,1923,0,1
Georg John,4,1923,3,2
'Snub' Pollard,3,1923,1,3
Sam De Grasse,3,1923,0,4
Tom Wilson,3,1923,2,5
Douglas Fairbanks,6,1924,0,1
Georg John,4,1924,1,2
'Snub' Pollard,3,1924,2,3
Sam De Grasse,3,1924,3,4
Tom Wilson,3,1924,4,5
Douglas Fairbanks,7,1925,0,1
Georg John,4,1925,1,2
Harold Lloyd,4,1925,0,3
'Snub' Pollard,3,1925,2,4
Sam De Grasse,3,1925,3,5
Douglas Fairbanks,8,1926,0,1
Georg John,4,1926,1,2
Harold Lloyd,4,1926,2,3
Wallace Beery,4,1926,0,4
Buster Keaton,4,1926,0,5
Douglas Fairbanks,7,1927,0,1
Harold Lloyd,5,1927,2,2
Buster Keaton,5,1927,4,3
Georg John,4,1927,1,4
Wallace Beery,4,1927,3,5
Douglas Fairbanks,7,1928,0,1
Georg John,5,1928,3,2
Harold Lloyd,5,1928,1,3
Nigel De Brulier,5,1928,0,4
Buster Keaton,5,1928,2,5
Douglas Fairbanks,7,1929,0,1
Georg John,6,1929,1,2
Buster Keaton,6,1929,4,3
Harold Lloyd,5,1929,2,4
Emily Fitzroy,5,1929,0,5
Douglas Fairbanks,8,1930,0,1
Nigel De Brulier,6,1930,0,2
Buster Keaton,6,1930,2,3
Emily Fitzroy,5,1930,4,4
Noble Johnson,5,1930,0,5
Douglas Fairbanks,7,1931,0,1
Nigel De Brulier,6,1931,1,2
Buster Keaton,6,1931,2,3
Noble Johnson,5,1931,4,4
Rudolf Klein-Rogge,5,1931,0,5
Douglas Fairbanks,6,1932,0,1
Buster Keaton,6,1932,2,2
Boris Karloff,6,1932,0,3
Noble Johnson,5,1932,3,4
Rudolf Klein-Rogge,5,1932,4,5
John Wayne,9,1933,0,1
Boris Karloff,8,1933,2,2
J. Farrell MacDonald,6,1933,0,3
Douglas Fairbanks,6,1933,0,4
Noble Johnson,6,1933,3,5
John Wayne,15,1934,0,1
Boris Karloff,9,1934,1,2
Noble Johnson,7,1934,4,3
Warner Oland,7,1934,0,4
Fay Wray,7,1934,0,5
John Wayne,24,1935,0,1
Yakima Canutt,11,1935,0,2
