date,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
1874-12-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1879-12-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884-12-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889-12-31,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1894-12-31,1.0,0.0,1.0,3.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1899-12-31,1.0,0.0,0.0,7.0,0.0,12.0,3.0,2.0,12.0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1904-12-31,3.0,5.0,0.0,13.0,1.0,10.0,3.0,1.0,17.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0
1909-12-31,2.0,0.0,3.0,17.0,3.0,2.0,6.0,0.0,13.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
1914-12-31,2.0,4.0,3.0,16.0,6.0,1.0,27.0,0.0,6.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0
1919-12-31,4.0,5.0,3.0,49.0,4.0,1.0,54.0,1.0,6.0,0.0,4.0,2.0,0.0,3.0,12.0,1.0,0.0,0.0,6.0,5.0
1924-12-31,10.0,16.0,5.0,56.0,9.0,5.0,81.0,3.0,16.0,0.0,4.0,14.0,0.0,3.0,26.0,4.0,0.0,7.0,1.0,5.0
1929-12-31,17.0,19.0,7.0,73.0,16.0,16.0,176.0,3.0,8.0,0.0,12.0,14.0,8.0,6.0,75.0,5.0,0.0,11.0,12.0,11.0
1934-12-31,55.0,34.0,22.0,192.0,75.0,9.0,350.0,12.0,13.0,0.0,15.0,33.0,46.0,44.0,184.0,10.0,0.0,37.0,22.0,27.0
1939-12-31,57.0,72.0,27.0,254.0,91.0,7.0,357.0,31.0,22.0,0.0,44.0,24.0,60.0,78.0,222.0,14.0,0.0,57.0,31.0,42.0
1944-12-31,67.0,47.0,27.0,244.0,70.0,17.0,350.0,27.0,36.0,0.0,31.0,45.0,65.0,82.0,208.0,19.0,0.0,96.0,105.0,45.0
1949-12-31,57.0,42.0,21.0,165.0,150.0,11.0,431.0,31.0,29.0,0.0,19.0,23.0,53.0,88.0,170.0,5.0,0.0,137.0,43.0,50.0
1954-12-31,111.0,99.0,21.0,234.0,145.0,11.0,495.0,34.0,29.0,0.0,30.0,25.0,70.0,38.0,195.0,46.0,0.0,118.0,55.0,107.0
1959-12-31,137.0,104.0,15.0,229.0,121.0,24.0,570.0,44.0,43.0,2.0,46.0,109.0,49.0,46.0,204.0,108.0,0.0,111.0,95.0,118.0
1964-12-31,126.0,127.0,17.0,312.0,111.0,31.0,563.0,62.0,60.0,23.0,64.0,106.0,46.0,55.0,189.0,74.0,3.0,107.0,68.0,44.0
1969-12-31,246.0,162.0,40.0,411.0,145.0,54.0,649.0,72.0,56.0,71.0,56.0,119.0,62.0,77.0,190.0,113.0,11.0,159.0,101.0,155.0
1974-12-31,322.0,129.0,45.0,411.0,252.0,88.0,806.0,91.0,67.0,96.0,56.0,290.0,59.0,134.0,141.0,95.0,39.0,315.0,59.0,127.0
1979-12-31,329.0,141.0,47.0,428.0,199.0,74.0,702.0,94.0,80.0,74.0,60.0,209.0,62.0,99.0,161.0,115.0,31.0,281.0,58.0,52.0
1984-12-31,305.0,176.0,70.0,570.0,165.0,78.0,719.0,95.0,133.0,58.0,52.0,297.0,85.0,113.0,234.0,188.0,31.0,270.0,41.0,24.0
1989-12-31,408.0,214.0,119.0,727.0,224.0,76.0,834.0,159.0,174.0,57.0,51.0,346.0,73.0,95.0,308.0,216.0,23.0,330.0,70.0,16.0
1994-12-31,466.0,222.0,104.0,791.0,247.0,94.0,1037.0,198.0,154.0,72.0,60.0,240.0,65.0,127.0,372.0,208.0,52.0,437.0,40.0,32.0
1999-12-31,529.0,263.0,152.0,1062.0,338.0,198.0,1576.0,287.0,208.0,158.0,93.0,225.0,85.0,157.0,623.0,274.0,76.0,612.0,64.0,35.0
2004-12-31,725.0,335.0,230.0,1404.0,417.0,383.0,2147.0,340.0,216.0,321.0,116.0,365.0,137.0,235.0,775.0,313.0,83.0,825.0,96.0,26.0
2009-12-31,995.0,493.0,349.0,1976.0,587.0,814.0,3135.0,458.0,353.0,465.0,200.0,796.0,220.0,371.0,992.0,427.0,114.0,1344.0,119.0,36.0
2014-12-31,1092.0,517.0,423.0,2364.0,643.0,1328.0,3556.0,512.0,378.0,224.0,250.0,910.0,228.0,405.0,1011.0,511.0,168.0,1582.0,145.0,55.0
2019-12-31,524.0,267.0,181.0,1173.0,286.0,555.0,1627.0,211.0,183.0,0.0,128.0,460.0,123.0,207.0,437.0,287.0,135.0,781.0,90.0,27.0
