date,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
1874-12-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1884-12-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1889-12-31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894-12-31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1899-12-31,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1904-12-31,1,1,0,2,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0
1909-12-31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1914-12-31,0,0,1,11,3,1,12,0,3,0,2,2,0,1,1,0,0,0,1,2
1919-12-31,1,0,0,10,0,1,12,0,1,0,1,1,0,0,3,0,0,0,0,1
1924-12-31,9,11,3,46,7,2,46,1,6,0,3,9,0,2,11,2,0,3,1,4
1929-12-31,2,5,0,11,4,0,30,1,0,0,5,3,1,2,31,2,0,6,4,2
1934-12-31,27,20,5,79,23,5,47,7,5,0,7,3,15,13,71,2,0,9,9,13
1939-12-31,0,31,0,0,35,0,0,5,0,0,7,16,32,63,180,7,0,47,17,10
1944-12-31,25,11,9,53,29,1,81,8,5,0,9,19,10,15,84,6,0,37,42,24
1949-12-31,7,14,4,36,37,0,85,7,5,0,2,3,11,18,74,2,0,60,2,13
1954-12-31,64,48,7,96,50,8,196,11,12,0,18,17,28,15,76,17,0,50,23,20
1959-12-31,21,21,5,49,19,0,121,8,11,0,9,24,0,0,0,0,0,0,0,0
1964-12-31,22,55,1,75,48,11,101,28,25,12,10,52,6,24,83,27,2,46,29,20
1969-12-31,142,28,19,245,18,16,237,26,7,0,13,20,9,15,71,52,1,27,47,15
1974-12-31,75,26,16,174,67,0,332,17,25,0,12,67,6,53,30,20,9,60,13,0
1979-12-31,127,61,22,80,30,17,137,22,23,16,23,45,10,13,26,32,14,60,0,6
1984-12-31,70,102,45,113,68,47,441,61,93,21,18,108,18,26,135,75,17,102,26,17
1989-12-31,170,95,50,464,93,43,355,128,115,34,28,244,26,38,192,142,8,131,49,7
1994-12-31,387,142,86,465,148,52,620,110,91,41,37,129,43,77,218,117,27,178,18,15
1999-12-31,0,59,0,0,79,0,337,0,44,42,0,54,49,73,397,102,14,257,30,14
2004-12-31,270,47,44,530,74,0,394,0,39,72,0,0,0,0,0,0,12,0,0,3
2009-12-31,173,215,74,377,235,140,596,191,0,94,43,180,43,83,190,92,19,0,0,0
2014-12-31,0,220,0,542,263,0,0,207,0,94,0,210,97,263,435,213,54,662,67,27
2019-12-31,225,160,81,520,129,292,770,132,117,0,79,286,123,138,250,59,79,478,17,4
