date,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
1874-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1883-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1891-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1894-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895-01-01,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1896-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1898-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1904-01-01,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0
1905-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1910-01-01,0,0,0,1,0,1,3,0,2,0,0,1,0,0,0,0,0,0,1,0
1911-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1914-01-01,0,0,1,10,2,0,9,0,1,0,2,1,0,1,1,0,0,0,0,1
1915-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1916-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919-01-01,1,0,0,10,0,1,12,0,1,0,1,1,0,0,3,0,0,0,0,0
1920-01-01,3,0,0,11,0,0,16,0,0,0,1,4,0,0,6,2,0,0,0,3
1921-01-01,3,3,1,17,3,0,18,0,3,0,1,3,0,0,5,0,0,1,1,0
1922-01-01,0,2,0,10,2,2,12,1,3,0,1,2,0,2,0,0,0,2,0,1
1923-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924-01-01,3,6,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
1927-01-01,2,2,0,11,4,0,30,0,0,0,5,3,1,0,16,1,0,2,0,0
1928-01-01,0,3,0,0,0,0,0,1,0,0,0,0,0,2,15,1,0,3,2,2
1929-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-01-01,4,2,1,35,9,3,47,0,1,0,2,0,15,3,28,1,0,3,4,1
1931-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932-01-01,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934-01-01,14,9,4,44,14,2,0,7,4,0,5,3,0,10,43,1,0,6,5,12
1935-01-01,0,0,0,0,0,0,0,0,0,0,7,9,0,14,47,3,0,7,2,0
1936-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937-01-01,0,0,0,0,0,0,0,0,0,0,0,0,14,14,53,0,0,11,8,4
1938-01-01,0,12,0,0,15,0,0,0,0,0,0,0,11,14,41,1,0,9,7,6
1939-01-01,0,19,0,0,20,0,0,5,0,0,0,7,7,21,39,3,0,20,0,0
1940-01-01,17,11,3,53,17,1,81,8,5,0,9,8,10,15,43,6,0,17,8,13
1941-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943-01-01,0,0,0,0,0,0,0,0,0,0,0,11,0,0,41,0,0,20,34,11
1944-01-01,8,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947-01-01,7,14,4,36,37,0,85,7,5,0,2,0,11,18,36,0,0,36,2,13
1948-01-01,0,0,0,0,0,0,0,0,0,0,0,3,0,0,38,2,0,24,0,0
1949-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
