date,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
1874-12-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884-12-31,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1894-12-31,1.0,0.0,1.0,3.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904-12-31,4.0,5.0,0.0,20.0,1.0,22.0,6.0,3.0,29.0,0.0,2.0,10.0,1.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0
1914-12-31,4.0,4.0,6.0,33.0,9.0,3.0,33.0,0.0,19.0,0.0,4.0,8.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0
1924-12-31,14.0,21.0,8.0,105.0,13.0,6.0,135.0,4.0,22.0,0.0,8.0,16.0,0.0,6.0,38.0,5.0,0.0,7.0,7.0,10.0
1934-12-31,72.0,53.0,29.0,265.0,91.0,25.0,526.0,15.0,21.0,0.0,27.0,47.0,54.0,50.0,259.0,15.0,0.0,48.0,34.0,38.0
1944-12-31,124.0,119.0,54.0,498.0,161.0,24.0,707.0,58.0,58.0,0.0,75.0,69.0,125.0,160.0,430.0,33.0,0.0,153.0,136.0,87.0
1954-12-31,168.0,141.0,42.0,399.0,295.0,22.0,926.0,65.0,58.0,0.0,49.0,48.0,123.0,126.0,365.0,51.0,0.0,255.0,98.0,157.0
1964-12-31,263.0,231.0,32.0,541.0,232.0,55.0,1133.0,106.0,103.0,25.0,110.0,215.0,95.0,101.0,393.0,182.0,3.0,218.0,163.0,162.0
1974-12-31,568.0,291.0,85.0,822.0,397.0,142.0,1455.0,163.0,123.0,167.0,112.0,409.0,121.0,211.0,331.0,208.0,50.0,474.0,160.0,282.0
1984-12-31,634.0,317.0,117.0,998.0,364.0,152.0,1421.0,189.0,213.0,132.0,112.0,506.0,147.0,212.0,395.0,303.0,62.0,551.0,99.0,76.0
1994-12-31,874.0,436.0,223.0,1518.0,471.0,170.0,1871.0,357.0,328.0,129.0,111.0,586.0,138.0,222.0,680.0,424.0,75.0,767.0,110.0,48.0
2004-12-31,1254.0,598.0,382.0,2466.0,755.0,581.0,3723.0,627.0,424.0,479.0,209.0,590.0,222.0,392.0,1398.0,587.0,159.0,1437.0,160.0,61.0
2014-12-31,2087.0,1010.0,772.0,4340.0,1230.0,2142.0,6691.0,970.0,731.0,689.0,450.0,1706.0,448.0,776.0,2003.0,938.0,282.0,2926.0,264.0,91.0
